age,sex,scenario,scen,prop,mode,max_walk,max_cycle,purpose,title1
65plus,males,Base case,all_0_2,0.009363888445903697,Cycling,0,2,all,2km ≥ cycling
65plus,males,Base case,all_0_2,0.6187454191111116,Car,0,2,all,2km ≥ cycling
65plus,males,Base case,all_0_2,0.0039148015929756025,Other,0,2,all,2km ≥ cycling
65plus,males,Base case,all_0_2,0.07127689436478812,Public transport,0,2,all,2km ≥ cycling
65plus,males,Base case,all_0_2,0.296698996485221,Walking,0,2,all,2km ≥ cycling
65plus,males,Base case,commuting_0_2,0.009363888445903697,Cycling,0,2,commuting,2km ≥ cycling
65plus,males,Base case,commuting_0_2,0.6187454191111116,Car,0,2,commuting,2km ≥ cycling
65plus,males,Base case,commuting_0_2,0.0039148015929756025,Other,0,2,commuting,2km ≥ cycling
65plus,males,Base case,commuting_0_2,0.07127689436478812,Public transport,0,2,commuting,2km ≥ cycling
65plus,males,Base case,commuting_0_2,0.296698996485221,Walking,0,2,commuting,2km ≥ cycling
65plus,males,Base case,all_0_5,0.009363888445903697,Cycling,0,5,all,5km ≥ cycling
65plus,males,Base case,all_0_5,0.6187454191111116,Car,0,5,all,5km ≥ cycling
65plus,males,Base case,all_0_5,0.0039148015929756025,Other,0,5,all,5km ≥ cycling
65plus,males,Base case,all_0_5,0.07127689436478812,Public transport,0,5,all,5km ≥ cycling
65plus,males,Base case,all_0_5,0.296698996485221,Walking,0,5,all,5km ≥ cycling
65plus,males,Base case,commuting_0_5,0.009363888445903697,Cycling,0,5,commuting,5km ≥ cycling
65plus,males,Base case,commuting_0_5,0.6187454191111116,Car,0,5,commuting,5km ≥ cycling
65plus,males,Base case,commuting_0_5,0.0039148015929756025,Other,0,5,commuting,5km ≥ cycling
65plus,males,Base case,commuting_0_5,0.07127689436478812,Public transport,0,5,commuting,5km ≥ cycling
65plus,males,Base case,commuting_0_5,0.296698996485221,Walking,0,5,commuting,5km ≥ cycling
65plus,males,Base case,all_1_0,0.009363888445903697,Cycling,1,0,all,1km ≥ walking
65plus,males,Base case,all_1_0,0.6187454191111116,Car,1,0,all,1km ≥ walking
65plus,males,Base case,all_1_0,0.0039148015929756025,Other,1,0,all,1km ≥ walking
65plus,males,Base case,all_1_0,0.07127689436478812,Public transport,1,0,all,1km ≥ walking
65plus,males,Base case,all_1_0,0.296698996485221,Walking,1,0,all,1km ≥ walking
65plus,males,Base case,commuting_1_0,0.009363888445903697,Cycling,1,0,commuting,1km ≥ walking
65plus,males,Base case,commuting_1_0,0.6187454191111116,Car,1,0,commuting,1km ≥ walking
65plus,males,Base case,commuting_1_0,0.0039148015929756025,Other,1,0,commuting,1km ≥ walking
65plus,males,Base case,commuting_1_0,0.07127689436478812,Public transport,1,0,commuting,1km ≥ walking
65plus,males,Base case,commuting_1_0,0.296698996485221,Walking,1,0,commuting,1km ≥ walking
65plus,males,Base case,all_1_2,0.009363888445903697,Cycling,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,all_1_2,0.6187454191111116,Car,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,all_1_2,0.0039148015929756025,Other,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,all_1_2,0.07127689436478812,Public transport,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,all_1_2,0.296698996485221,Walking,1,2,all,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,commuting_1_2,0.009363888445903697,Cycling,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,commuting_1_2,0.6187454191111116,Car,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,commuting_1_2,0.0039148015929756025,Other,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,commuting_1_2,0.07127689436478812,Public transport,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,commuting_1_2,0.296698996485221,Walking,1,2,commuting,1km ≥ walking ; 1 km < cycling ≤ 2 km
65plus,males,Base case,all_1_5,0.009363888445903697,Cycling,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,all_1_5,0.6187454191111116,Car,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,all_1_5,0.0039148015929756025,Other,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,all_1_5,0.07127689436478812,Public transport,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,all_1_5,0.296698996485221,Walking,1,5,all,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,commuting_1_5,0.009363888445903697,Cycling,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,commuting_1_5,0.6187454191111116,Car,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,commuting_1_5,0.0039148015929756025,Other,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,commuting_1_5,0.07127689436478812,Public transport,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,commuting_1_5,0.296698996485221,Walking,1,5,commuting,1km ≥ walking ; 1 km < cycling ≤ 5 km
65plus,males,Base case,all_2_0,0.009363888445903697,Cycling,2,0,all,2km ≥ walking
65plus,males,Base case,all_2_0,0.6187454191111116,Car,2,0,all,2km ≥ walking
65plus,males,Base case,all_2_0,0.0039148015929756025,Other,2,0,all,2km ≥ walking
65plus,males,Base case,all_2_0,0.07127689436478812,Public transport,2,0,all,2km ≥ walking
65plus,males,Base case,all_2_0,0.296698996485221,Walking,2,0,all,2km ≥ walking
65plus,males,Base case,commuting_2_0,0.009363888445903697,Cycling,2,0,commuting,2km ≥ walking
65plus,males,Base case,commuting_2_0,0.6187454191111116,Car,2,0,commuting,2km ≥ walking
65plus,males,Base case,commuting_2_0,0.0039148015929756025,Other,2,0,commuting,2km ≥ walking
65plus,males,Base case,commuting_2_0,0.07127689436478812,Public transport,2,0,commuting,2km ≥ walking
65plus,males,Base case,commuting_2_0,0.296698996485221,Walking,2,0,commuting,2km ≥ walking
65plus,males,Base case,all_2_5,0.009363888445903697,Cycling,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,all_2_5,0.6187454191111116,Car,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,all_2_5,0.0039148015929756025,Other,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,all_2_5,0.07127689436478812,Public transport,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,all_2_5,0.296698996485221,Walking,2,5,all,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,commuting_2_5,0.009363888445903697,Cycling,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,commuting_2_5,0.6187454191111116,Car,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,commuting_2_5,0.0039148015929756025,Other,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,commuting_2_5,0.07127689436478812,Public transport,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Base case,commuting_2_5,0.296698996485221,Walking,2,5,commuting,2km ≥ walking ; 2 km < cycling ≤ 5 km
65plus,males,Scenario,all_0_2,0.15938477894054923,Cycling,0,2,all,2km ≥ cycling
65plus,males,Scenario,all_0_2,0.468724528616466,Car,0,2,all,2km ≥ cycling
65plus,males,Scenario,all_0_2,0.0039148015929756025,Other,0,2,all,2km ≥ cycling
65plus,males,Scenario,all_0_2,0.07127689436478812,Public transport,0,2,all,2km ≥ cycling
65plus,males,Scenario,all_0_2,0.296698996485221,Walking,0,2,all,2km ≥ cycling
65plus,males,Scenario,commuting_0_2,0.011672874015240099,Cycling,0,2,commuting,2km ≥ cycling
65plus,males,Scenario,commuting_0_2,0.6164364335417751,Car,0,2,commuting,2km ≥ cycling
65plus,males,Scenario,commuting_0_2,0.0039148015929756025,Other,0,2,commuting,2km ≥ cycling
65plus,males,Scenario,commuting_0_2,0.07127689436478812,Public transport,0,2,commuting,2km ≥ cycling
65plus,males,Scenario,commuting_0_2,0.296698996485221,Walking,0,2,commuting,2km ≥ cycling
65plus,males,Scenario,all_0_5,0.3662504115690819,Cycling,0,5,all,5km ≥ cycling
65plus,males,Scenario,all_0_5,0.2618588959879334,Car,0,5,all,5km ≥ cycling
